UPE
"09/20/2026, 08:41:33 PM"
,Intel® RealSense™ Depth Camera D435i

Essentials
Product Collection,Intel® RealSense™ Cameras
Code Name,Products formerly Double Springs
Marketing Status,Launched
Launch Date,Q1'19
Depth Technology,Active Stereoscopic

Operational Specifications
Operating Range (Min-Max),~.3m - 3m
Depth Resolution and FPS,1280x720 30fps
Depth Field of View,H:87 V:58

Supplemental Information
Datasheet,View now

Components
RGB Sensor,Yes
Tracking Module,No

Module Specifications
Dimensions,90mx25mx25m (Camera)
System Interface Type,USB 3
